YEAR,TEAM,RANK,HOME_GAMES,TOTAL_ATT,HOME_AVG_ATT,HOME_PCT_ATT,ROAD_GAMES,ROAD_AVG_ATT,ROAD_PCT_ATT,OVERALL_GAMES,OVERALL_AVG_ATT,OVERALL_PCT_ATT,AWAY_WINS,HOME_WINS,HOME_WIN_PCT,AWAY_WIN_PCT,OVERALL_WIN_PCT
2019,LA Dodgers,1,81,3974309,49065,0.0,81,33427,0.0,162,41246,0.0,47,59,72.8,58.0,65.4
2019,St. Louis,2,81,3480393,42967,0.0,81,29447,0.0,162,36207,0.0,41,50,61.7,50.6,56.2
2019,NY Yankees,3,79,3304404,41827,0.0,80,30759,0.0,159,36258,0.0,46,57,72.2,57.5,64.8
2019,Chicago Cubs,4,81,3094865,38208,0.0,81,33454,0.0,162,35831,0.0,33,51,63.0,40.7,51.9
2019,LA Angels,5,81,3023010,37321,0.0,81,26849,0.0,162,32085,0.0,34,38,46.9,42.0,44.4
2019,Colorado,6,81,2993244,36953,0.0,81,30528,0.0,162,33741,0.0,28,43,53.1,34.6,43.8
2019,Boston,7,81,2924627,36106,0.0,81,28027,0.0,162,32066,0.0,46,38,46.9,56.8,51.9
2019,Milwaukee,8,81,2923333,36090,0.0,81,29727,0.0,162,32909,0.0,40,49,60.5,49.4,54.9
2019,Houston,9,81,2857367,35276,0.0,80,26302,0.0,161,30817,0.0,47,60,74.1,58.8,66.5
2019,Philadelphia,10,81,2727421,33671,0.0,81,28958,0.0,162,31315,0.0,36,45,55.6,44.4,50.0
2019,San Francisco,11,81,2707760,33429,0.0,81,32452,0.0,162,32940,0.0,42,35,43.2,51.9,47.5
2019,Atlanta,12,81,2654920,32776,0.0,80,28829,0.0,161,30815,0.0,47,50,61.7,58.8,60.2
2019,NY Mets,13,80,2442532,30531,0.0,81,29425,0.0,161,29975,0.0,38,48,60.0,46.9,53.4
2019,San Diego,14,81,2396399,29585,0.0,81,32446,0.0,162,31015,0.0,34,36,44.4,42.0,43.2
2019,Minnesota,15,81,2294152,28322,0.0,80,23505,0.0,161,25928,0.0,55,46,56.8,68.8,62.7
2019,Washington,16,81,2259781,27898,0.0,81,29054,0.0,162,28476,0.0,43,50,61.7,53.1,57.4
2019,Arizona,17,81,2135510,26364,0.0,81,28993,0.0,162,27678,0.0,41,44,54.3,50.6,52.5
2019,Texas,18,81,2133004,26333,0.0,80,26601,0.0,161,26466,0.0,33,45,55.6,41.2,48.4
2019,Cincinnati,19,81,1808685,22329,0.0,81,30425,0.0,162,26377,0.0,34,41,50.6,42.0,46.3
2019,Seattle,20,81,1791937,22122,0.0,81,26548,0.0,162,24335,0.0,33,35,43.2,40.7,42.0
2019,Cleveland,21,79,1738642,22008,0.0,81,24944,0.0,160,23494,0.0,44,49,62.0,54.3,58.1
2019,Toronto,22,81,1750144,21606,0.0,81,25904,0.0,162,23755,0.0,32,35,43.2,39.5,41.4
2019,Chicago White Sox,23,76,1629636,21442,0.0,81,24384,0.0,157,22960,0.0,33,39,51.3,40.7,45.9
2019,Oakland,24,81,1662211,20521,0.0,81,27615,0.0,162,24068,0.0,45,52,64.2,55.6,59.9
2019,Detroit,25,80,1501430,18767,0.0,79,24826,0.0,159,21778,0.0,25,22,27.5,31.6,29.6
2019,Kansas City,26,80,1479659,18495,0.0,80,25072,0.0,160,21783,0.0,28,31,38.8,35.0,36.9
2019,Pittsburgh,27,81,1491429,18412,0.0,81,32070,0.0,162,25241,0.0,34,35,43.2,42.0,42.6
2019,Baltimore,28,80,1307807,16347,0.0,78,25484,0.0,158,20858,0.0,29,25,31.2,37.2,34.2
2019,Tampa Bay,29,80,1178735,14734,0.0,79,26067,0.0,159,20365,0.0,48,48,60.0,60.8,60.4
2019,Miami,30,81,811302,10016,0.0,80,27812,0.0,161,18858,0.0,27,30,37.0,33.8,35.4
2018,LA Dodgers,1,82,3857500,47042,84.0,80,33239,77.3,162,40226,81.1,47,45,54.9,58.8,56.8
2018,NY Yankees,2,81,3482855,42998,86.6,80,30685,73.7,161,36880,80.8,47,53,65.4,58.8,62.1
2018,St. Louis,3,81,3403587,42019,95.6,81,29274,69.4,162,35646,82.7,45,43,53.1,55.6,54.3
2018,San Francisco,4,81,3156185,38965,93.0,81,33915,74.9,162,36440,83.6,31,42,51.9,38.3,45.1
2018,Chicago Cubs,5,82,3181089,38793,94.3,80,32800,76.8,162,35834,85.5,44,51,62.2,55.0,58.6
2018,LA Angels,6,81,3020216,37286,82.1,81,28034,64.6,162,32660,73.6,38,42,51.9,46.9,49.4
2018,Colorado,7,81,3015880,37233,73.7,82,31607,70.5,163,34402,72.2,44,47,58.0,53.7,55.8
2018,Houston,8,81,2980549,36796,89.8,80,28842,65.4,161,32844,77.3,57,46,56.8,71.2,64.0
2018,Boston,9,81,2895575,35747,95.3,81,29992,69.6,162,32870,81.5,51,57,70.4,63.0,66.7
2018,Milwaukee,10,81,2850875,35195,84.0,81,29000,67.8,162,32098,75.8,45,51,63.0,55.6,59.3
2018,Washington,11,80,2529604,31620,76.2,80,28102,65.3,160,29861,70.6,41,41,51.2,51.2,51.2
2018,Atlanta,12,81,2555781,31552,76.8,81,27826,65.1,162,29689,70.8,47,43,53.1,58.0,55.6
2018,Toronto,13,80,2325281,29066,59.0,80,25152,60.1,160,27109,59.5,33,40,50.0,41.2,45.6
2018,Seattle,14,81,2299489,28388,59.3,80,27174,63.6,161,27785,61.3,44,45,55.6,55.0,55.3
2018,NY Mets,15,79,2224995,28164,67.4,80,29795,70.1,159,28985,68.7,40,37,46.8,50.0,48.4
2018,Arizona,16,81,2242695,27687,56.9,81,31832,71.9,162,29760,64.1,42,40,49.4,51.9,50.6
2018,Philadelphia,17,79,2158124,27318,63.4,80,28381,66.6,159,27853,65.0,31,49,62.0,38.8,50.3
2018,San Diego,18,80,2147000,26837,64.5,81,30730,68.1,161,28795,66.4,35,31,38.8,43.2,41.0
2018,Texas,19,81,2107107,26013,52.9,81,26470,62.0,162,26241,57.1,33,34,42.0,40.7,41.4
2018,Minnesota,20,80,1959197,24489,63.6,81,27017,64.4,161,25761,64.0,29,49,61.3,35.8,48.4
2018,Cleveland,21,80,1926701,24083,55.4,81,26088,64.2,161,25092,59.7,42,49,61.3,51.9,56.5
2018,Detroit,22,80,1856970,23212,56.3,80,26157,62.4,160,24685,59.3,26,38,47.5,32.5,40.0
2018,Kansas City,23,81,1665107,20556,54.2,80,24262,57.7,161,22398,56.1,26,32,39.5,32.5,36.0
2018,Cincinnati,24,81,1629356,20115,47.5,81,29918,70.3,162,25017,59.0,30,37,45.7,37.0,41.4
2018,Chicago White Sox,25,80,1608817,20110,50.1,80,26240,62.8,160,23175,56.6,32,30,37.5,40.0,38.8
2018,Baltimore,26,78,1564192,20053,44.1,81,27204,64.2,159,23696,54.0,19,28,35.9,23.5,29.6
2018,Oakland,27,81,1573616,19427,55.4,80,28748,65.5,161,24058,61.0,47,50,61.7,58.8,60.2
2018,Pittsburgh,28,78,1465316,18786,49.0,81,31288,72.7,159,25155,61.7,38,44,56.4,46.9,51.6
2018,Tampa Bay,29,81,1154973,14258,41.8,80,26381,60.8,161,20282,52.4,39,51,63.0,48.8,55.9
2018,Miami,30,81,811104,10013,26.7,79,28917,67.2,160,19347,48.1,25,38,46.9,31.6,39.4
2017,LA Dodgers,1,81,3765856,46492,83.0,81,33579,76.9,162,40035,80.3,47,57,70.4,58.0,64.2
2017,St. Louis,2,81,3447937,42567,96.8,81,31324,74.3,162,36945,85.8,39,44,54.3,48.1,51.2
2017,San Francisco,3,81,3303652,40785,97.3,81,31376,69.9,162,36081,83.1,26,38,46.9,32.1,39.5
2017,NY Yankees,4,79,3146966,39835,80.2,81,32354,76.9,160,36048,78.7,40,51,64.6,49.4,56.9
2017,Toronto,5,81,3203886,39554,80.3,81,29912,71.4,162,34733,76.2,34,42,51.9,42.0,46.9
2017,Chicago Cubs,6,81,3199562,39500,96.0,81,34460,81.2,162,36980,88.5,44,48,59.3,54.3,56.8
2017,LA Angels,7,81,3019583,37278,82.1,81,27663,65.0,162,32471,73.9,37,43,53.1,45.7,49.4
2017,Colorado,8,81,2953650,36464,72.2,81,30575,69.3,162,33520,70.8,41,46,56.8,50.6,53.7
2017,Boston,9,81,2917678,36020,95.9,81,31563,72.8,162,33792,83.5,45,48,59.3,55.6,57.4
2017,Milwaukee,10,81,2558722,31589,75.4,81,30530,71.1,162,31060,73.2,40,46,56.8,49.4,53.1
2017,Washington,11,81,2524980,31172,75.1,81,29967,70.4,162,30570,72.7,50,47,58.0,61.7,59.9
2017,Texas,12,81,2507760,30960,63.0,81,26699,63.8,162,28829,63.3,37,41,50.6,45.7,48.1
2017,Atlanta,13,81,2505252,30929,75.3,79,29230,68.1,160,30090,71.7,35,37,45.7,44.3,45.0
2017,NY Mets,14,80,2460622,30757,73.6,81,30372,70.3,161,30563,71.9,33,37,46.2,40.7,43.5
2017,Houston,15,81,2403671,29674,72.9,79,27678,64.3,160,28689,68.5,53,48,59.3,67.1,63.1
2017,Detroit,16,81,2321599,28661,69.5,80,26725,63.1,161,27699,66.3,30,34,42.0,37.5,39.8
2017,Kansas City,17,80,2220370,27754,73.2,80,28458,66.2,160,28106,69.5,37,43,53.8,46.2,50.0
2017,San Diego,18,81,2138491,26401,61.8,81,32161,70.9,162,29281,66.5,28,43,53.1,34.6,43.8
2017,Seattle,19,81,2135445,26363,55.1,80,26797,62.9,161,26579,58.7,38,40,49.4,47.5,48.4
2017,Arizona,20,81,2134375,26350,54.2,81,31939,72.3,162,29144,62.8,41,52,64.2,50.6,57.4
2017,Minnesota,21,80,2051279,25640,64.9,80,27797,65.5,160,26719,65.2,44,41,51.2,55.0,53.1
2017,Cleveland,22,81,2048138,25285,58.2,80,27729,66.3,161,26499,62.2,53,49,60.5,66.2,63.4
2017,Baltimore,23,81,2028424,25042,55.1,81,29457,69.7,162,27250,62.1,29,46,56.8,35.8,46.3
2017,Philadelphia,24,79,1905354,24118,55.3,81,30940,72.3,160,27571,63.8,27,39,49.4,33.3,41.2
2017,Pittsburgh,25,81,1919447,23696,62.5,81,32633,75.3,162,28164,69.4,31,44,54.3,38.3,46.3
2017,Cincinnati,26,81,1836917,22677,53.6,81,32094,74.8,162,27386,64.3,29,39,48.1,35.8,42.0
2017,Chicago White Sox,27,79,1629470,20626,50.8,81,28443,66.4,160,24583,58.9,28,39,49.4,34.6,41.9
2017,Miami,28,81,1651997,20395,54.2,80,29160,67.4,161,24750,61.2,35,42,51.9,43.8,47.8
2017,Oakland,29,80,1475721,18446,52.6,80,29466,67.1,160,23956,60.7,29,46,57.5,36.2,46.9
2017,Tampa Bay,30,80,1253619,15670,45.6,81,29898,68.8,161,22828,58.6,38,42,52.5,46.9,49.7
2016,LA Dodgers,1,81,3703312,45719,81.6,81,32959,74.4,162,39339,78.5,38,53,65.4,46.9,56.2
2016,St. Louis,2,81,3444490,42524,96.7,80,31092,72.3,161,36844,84.7,48,38,46.9,60.0,53.4
2016,Toronto,3,81,3392299,41880,85.0,81,30065,71.2,162,35972,78.6,43,46,56.8,53.1,54.9
2016,San Francisco,4,81,3365256,41546,99.1,81,32164,71.1,162,36855,84.6,42,45,55.6,51.9,53.7
2016,Chicago Cubs,5,81,3232420,39906,97.0,81,35052,81.8,162,37479,89.2,46,57,70.4,56.8,63.6
2016,NY Yankees,6,81,3063405,37819,76.2,81,30940,73.2,162,34380,74.8,36,48,59.3,44.4,51.9
2016,LA Angels,7,81,3016142,37236,82.0,81,28676,67.2,162,32956,74.8,34,40,49.4,42.0,45.7
2016,Boston,8,81,2955434,36486,97.2,81,32290,73.4,162,34388,84.4,46,47,58.0,56.8,57.4
2016,NY Mets,9,80,2789602,34870,83.4,80,30791,70.1,160,32830,76.6,43,44,55.0,53.8,54.4
2016,Texas,10,81,2710402,33461,68.1,81,27560,64.7,162,30511,66.5,42,53,65.4,51.9,58.6
2016,Colorado,11,81,2602524,32129,63.6,81,31464,70.1,162,31796,66.7,33,42,51.9,40.7,46.3
2016,Kansas City,12,81,2557712,31576,83.3,81,27979,66.3,162,29778,74.3,34,47,58.0,42.0,50.0
2016,Detroit,13,80,2493859,31173,75.6,81,28313,67.7,161,29734,71.6,41,45,56.2,50.6,53.4
2016,Washington,14,81,2481938,30641,73.8,81,29664,68.4,162,30152,71.0,45,50,61.7,55.6,58.6
2016,San Diego,15,81,2351426,29029,68.0,81,32847,71.8,162,30938,70.0,29,39,48.1,35.8,42.0
2016,Milwaukee,16,81,2314614,28575,68.2,81,30954,71.2,162,29764,69.7,32,41,50.6,39.5,45.1
2016,Houston,17,81,2306623,28476,69.5,81,28041,65.0,162,28258,67.2,41,43,53.1,50.6,51.9
2016,Pittsburgh,18,80,2249021,28112,73.3,81,29999,68.8,161,29061,70.9,40,38,47.5,49.4,48.4
2016,Seattle,19,81,2267928,27999,58.5,81,28309,67.3,162,28154,62.6,42,44,54.3,51.9,53.1
2016,Baltimore,20,81,2172344,26819,59.0,81,31796,73.8,162,29307,66.2,39,50,61.7,48.1,54.9
2016,Arizona,21,81,2036216,25138,51.7,81,32701,72.9,162,28920,61.9,36,33,40.7,44.4,42.6
2016,Atlanta,22,81,2020914,24949,50.8,80,28026,66.0,161,26478,57.8,37,31,38.3,46.2,42.2
2016,Minnesota,23,81,1963912,24245,61.4,81,27357,64.9,162,25801,63.2,29,30,37.0,35.8,36.4
2016,Philadelphia,24,81,1915144,23643,54.2,81,30783,70.7,162,27213,62.4,34,37,45.7,42.0,43.8
2016,Cincinnati,25,81,1894085,23383,55.3,81,31895,73.4,162,27639,64.5,30,38,46.9,37.0,42.0
2016,Chicago White Sox,26,80,1746293,21828,53.7,81,28188,67.9,161,25028,60.9,33,45,56.2,40.7,48.4
2016,Miami,27,80,1712417,21405,57.2,81,28510,65.7,161,24979,61.8,39,40,50.0,48.1,49.1
2016,Cleveland,28,81,1591667,19650,45.2,79,26940,63.9,160,23249,54.3,41,53,65.4,51.9,58.8
2016,Oakland,29,81,1521506,18784,53.6,81,29511,67.4,162,24147,61.2,35,34,42.0,43.2,42.6
2016,Tampa Bay,30,81,1286163,15878,46.6,81,30093,67.8,162,22985,58.6,32,36,44.4,39.5,42.0
2015,LA Dodgers,1,81,3764815,46479,83.0,81,34525,78.6,162,40502,81.1,37,55,67.9,45.7,56.8
2015,St. Louis,2,81,3520889,43467,98.8,80,31317,73.3,161,37430,86.4,45,55,67.9,56.2,62.1
2015,San Francisco,3,81,3375882,41677,99.4,81,34121,74.9,162,37899,86.6,37,47,58.0,45.7,51.9
2015,NY Yankees,4,80,3193795,39922,80.4,81,31322,74.8,161,35595,77.8,42,45,56.2,51.9,54.0
2015,LA Angels,5,81,3012765,37194,81.9,81,28958,66.5,162,33076,74.4,36,49,60.5,44.4,52.5
2015,Chicago Cubs,6,81,2959812,36540,88.8,80,34422,80.1,161,35488,84.4,48,49,60.5,60.0,60.2
2015,Boston,7,81,2880694,35564,94.8,81,32263,73.8,162,33913,83.5,35,43,53.1,43.2,48.1
2015,Toronto,8,81,2794891,34504,70.0,79,27762,65.8,160,31175,68.1,40,53,65.4,50.6,58.1
2015,Detroit,9,81,2726048,33654,81.6,79,29719,71.3,160,31711,76.5,36,38,46.9,45.6,46.2
2015,Kansas City,10,81,2708549,33438,88.2,81,27681,65.4,162,30560,76.2,44,51,63.0,54.3,58.6
2015,Washington,11,81,2619843,32343,77.9,80,30230,69.6,161,31293,73.7,37,46,56.8,46.2,51.6
2015,NY Mets,12,81,2569753,31725,75.9,81,30693,69.8,162,31209,72.8,41,49,60.5,50.6,55.6
2015,Milwaukee,13,81,2542558,31389,74.9,81,31634,73.6,162,31511,74.2,34,34,42.0,42.0,42.0
2015,Colorado,14,80,2506789,31334,62.1,81,30962,69.3,161,31147,65.5,32,36,45.0,39.5,42.2
2015,Pittsburgh,15,81,2498596,30846,80.4,81,33049,76.5,162,31947,78.3,45,53,65.4,55.6,60.5
2015,Texas,16,81,2491875,30763,62.6,81,29073,67.8,162,29918,65.0,45,43,53.1,55.6,54.3
2015,San Diego,17,81,2459752,30367,71.1,81,31721,69.0,162,31044,70.0,35,39,48.1,43.2,45.7
2015,Cincinnati,18,81,2419506,29870,70.6,80,32075,74.5,161,30965,72.5,30,34,42.0,37.5,39.8
2015,Baltimore,19,79,2320590,29374,65.3,81,28714,68.3,160,29040,66.8,34,47,59.5,42.0,50.6
2015,Minnesota,20,81,2220054,27408,69.4,80,29306,69.8,161,28351,69.6,37,46,56.8,46.2,51.6
2015,Seattle,21,81,2193581,27081,56.6,81,29052,67.7,162,28066,61.8,40,36,44.4,49.4,46.9
2015,Houston,22,81,2153585,26587,64.9,81,28121,64.6,162,27354,64.7,33,53,65.4,40.7,53.1
2015,Arizona,23,81,2080145,25680,52.8,80,32654,72.4,161,29146,62.2,40,39,48.1,50.0,49.1
2015,Atlanta,24,80,2001392,25017,50.3,81,29699,69.4,161,27373,59.2,25,42,52.5,30.9,41.6
2015,Philadelphia,25,78,1831080,23475,53.8,81,30906,70.4,159,27260,62.3,26,37,47.4,32.1,39.6
2015,Chicago White Sox,26,80,1755810,21947,54.0,80,29030,69.4,160,25489,61.9,36,40,50.0,45.0,47.5
2015,Oakland,27,81,1768175,21829,62.3,81,29526,66.8,162,25677,64.8,34,34,42.0,42.0,42.0
2015,Miami,28,81,1752235,21632,57.8,80,29215,66.2,161,25400,62.3,30,41,50.6,37.5,44.1
2015,Cleveland,29,78,1388905,17806,41.0,81,29150,70.4,159,23585,55.6,42,39,50.0,51.9,50.9
2015,Tampa Bay,30,81,1247668,15403,45.2,81,28189,65.1,162,21796,56.3,38,42,51.9,46.9,49.4
